title,body
سعودي في الجول,"وافق 47 ناد سعودي على مشروع توثيق تاريخ الكرة السعودية، فيما أبدى نادي الشباب اعتراضه.
وغادر ممثل نادي الشباب الاجتماع الأخير لمشروع توثيق تاريخ الكرة السعودية وذلك قبل إصدار التقرير النهائي بنتائج المشروع.
وبحسب صحيفة الشرق الأوسط السعودية، فإن فارس العلياني ممثل نادي الشباب رفع البطاقة الحمراء اعتراضا على المصادقة على التقرير النهائي المتعلق بنتائج المشروع.
وقال العلياني عبر وسال إعلام سعودية: ""أحسن الله عزاءنا في تاريخنا الرياضي، ما حدث هو عبث، والمتضرر الوحيد في هذا المشروع هو نادي الشباب"".
وأضاف""نحن كُنا رابع الترتيب في سجل أبطال الدوري ثم أصبحنا خامسا. اتحاد القدم رمى موضوع التوثيق لدى الجمعية العمومية، ومع الأسف أندية ليس لها تاريخ رياضي تصوت وتقرر"".
وستقوم الأندية بإعلان عدد بطولاتها وفقا لنتائج التقرير بعد المصادقة على التقرير النهائي لمشروع توثيق تاريخ كرة القدم السعودية، ، بعد ذلك سيتم الإعلان عنها في موقع الاتحاد السعودي لكرة القدم.
وأشارت التقارير إلى أن فريق عمل مشروع توثيق تاريخ كرة القدم السعودية بين في تقريره أن عدد البطولات المرصودة 3910 بطولة، وعدد الأبطال 155 نادي.
وأضاف أن عدد البطولات المرصودة للفريق الأول 1282 بطولة، وللفئات العمرية 2628 بطولة.
وأوضحت التقارير أن عدد الأندية المصادقة على نتائج مشروع توثيق تاريخ كرة القدم السعودية 47 ناد، الشباب هو النادي الوحيد الذي رفض المصادقة."
الدوري المصري,"تلقى الأهلي عرضا رسميا من نادي فالنسيا الإسباني للتعاقد مع حارس مرماه مصطفى شوبير في الموسم المقبل.
وعلمFilGoal.comأن الأهلي تلقى عرضا رسميا من النادي الإسباني طلب خلاله التعاقد مع مصطفى شوبير.
لكن إدارة الأهلي أجلت الرد على هذا العرض لحين الانتهاء من فترة ضغط المباريات الحالية.
وأن إدارة النادي ومحمد رمضان المدير الرياضي أسندا هذا الملف لـ محمد شوقي نائب المدير الرياضي للتفاوض مع الطرف الإسباني.
ولكن ليس في الوقت الحالي بسبب انشغال الفريق بالاستعداد لمباراة صنداونز وما تبقى من مباريات في الموسم الحالي.
وتم تصعيد مصطفى شوبير البالغ من العمر 24 عاما للفريق الأول للأهلي في موسم 2019/2020 وخاض أول مباراة له تحت قيادة المدرب السويسري الأسبق رينيه فايلر.
وفي الموسم الجاري لعب مصطفى شوبير 8 مباريات مع الأهلي بواقع 6 في الدوري المصري، ومباراة في دوري أبطال إفريقيا وأخرى في السوبر المصري.
وتألق مصطفى شوبير مع الأهلي في الموسم الماضي بعد إصابة محمد الشناوي وقاد الفريق للتتويج بدوري أبطال إفريقيا دون أن يتلقى أي أهداف.
وذلك بعدما لعب 9 مباريات حافظ فيها جميعا على نظافة شباكه.
كما ينضم مصطفى شوبير بشكل مستمر لمنتخب مصر منذ تولي حسام حسن تدريب الفراعنة وشارك معه في مباراة واحدة."
الكرة الأوروبية,"عبر أوريلين تشواميني لاعب ريال مدريد عن سعادته بحصوله على جائزة لاعب الشهر في الفريق، وعلى الجانب الآخر شدد أن الملكي سيواصل المنافسة على الدوري.
ويستعد ريال مدريد لمواجهة خيتافي غدا الأربعاء بالجولة 33 من الدوري الإسباني على ملعب كوليسيوم.
وقال اللاعب الفرنسي لموقع ناديه: ""سعيد للغاية بالحصول على جائزة لاعب الشهر في الفريق، هذا الشيء يعني لي الكثير، أسعى كل يوم لأحسن أدائي سواء بالكرة أو دونها"".
وأضاف ""هدفي مساعدة زملائي في الفريق قدر الإمكان وتحقيق الفوز في المباريات"".
وتابع ""مباراة خيتافي مهمة، نحن في المرحلة الأخيرة من الموسم، ولذلك تصبح المباريات أكثر أهمية"".
وأنهى حديثه قائلا: ""علينا الالتزام وبذل أقصى مجهود ممكن للفوز ومواصلة المنافسة على الدوري الإسباني"".
ويحتل ريال مدريد المركز الثاني في جدول ترتيب الدوري الإسباني برصيد 69 نقطة."
ميركاتو,"يسعى نادي الهلال لتعويض رحيل البرازيلي نيمار عن الفريق بضم نجم بارز.
وكان قد ارتبط اسم فينيسيوس جونيور بالانتقال إلى الهلال لكن تشير التقارير إلى أن اللاعب قرر عدم الرحيل عن ريال مدريد في المستقبل القريب.
وكشفت صحيفة سبورت الإسبانية أن الهلال يدرس خيارات لتعزيز هجومه بجناح من الطراز الرفيع.
وأوضح التقرير أن إدارة الهلال مهتمة بضم البرازيلي رافينيا نجم فريق برشلونة.
ونجح رافينيا في تسجيل 30 هدفا وصناعة 22 آخرين خلال 48 خاضهم برشلونة هذا الموسم.
ويعتبر رافينيا أحد أبرز اللاعبين المرشحين للتتويج بجائزة الكرة الذهبية في 2025.
وكشف التقرير عن اهتمام أندية مثل الهلال والنصر واتحاد جدة لضم نجوم من فريق برشلونة.
وأبرز الأسماء المرشحة من برشلونة للانتقال إلى الدوري السعودي فرينكي دي يونج ورونالد أراخو.
ويحتل برشلونة صدارة ترتيب الدوري الإسباني قبل ست جولات من النهاية بفارق 4 نقاط عن ريال مدريد."
كرة يد,"كشف ماركوس ماركيز مدرب حراس مرمى الزمالك لكرة اليد عن رحيله إلى كرواتيا.
ولم ينته موسم الزمالك في كرة اليد إذ يتبقى المنافسة على بطولتي السوبر الإفريقي وكأس الكؤوس الإفريقية.
وكشف ماركوس ماركيز مدرب حراس مرمى الزمالك لكرة اليد عبر حسابه الشخصي ""مشجع أهلاوي ساعدني أنا وعائلتي للوصول بسلام إلى كرواتيا"".
وتابع ""أشكره على ذلك وعندما أتأكد أن عائلتي في أمان سأتحدث عن طل شيء بخصوص الزمالك"".
وكان ماركوس قد انضم إلى الجهاز الفني بقيادة الإسباني فرناندو باربيتو المدير الفني للفريق.
ولم يكشف ماركوس تفاصيل رحيله عن مصر إلى كرواتيا موضحا حديثه في وقت لاحق.
وخسر الزمالك هذا الموسم لقب بطولتي الدوري وكأس مصر أمام الأهلي."
كرة يد,"حسم فريق سيدات الأهلي لكرة اليد لقب الدوري المصري للمرة الثالثة على التوالي قبل جولة من ختام المسابقة.
وتغلب الأهلي على الشمس بنتيجة 30-18 في المباراة التي أقيمت على صالة حسن مصطفى قبل جولة من ختام الدورة المجمعة الثانية.
وحققت سيدات الأهلي بذلك لقب الدوري للمرة الخامسة والأربعين في التاريخ.
ويختتم فريق الأهلي منافساته بمواجهة الزمالك غدا الأربعاء في مباراة تحصيل حصل.
ورفع الأهلي رصيده إلى 19 نقطة بفارق 8 نقاط عن الشمس أقرب منافسيه.
أما الزمالك فيتذيل الترتيب برصيد 3 نقاط قبل المباراة الختامية.
ويستعد فريق الأهلي لخوض منافساتي السوبر الإفريقي وكأس الكؤوس لسيدات كرة اليد.
ويستضيف الأهلي منافسات البطولتين على صالته في مايو المقبل."
الكرة المصرية,"أشاد رولاني موكوينا المدير الفني لـ الوداد الغربي بنظيره الأهلي قبل انطلاق منافسات كأس العالم للأندية 2025.
ويستعد الوداد لخوض منافسات كأس العالم للأندية المقرر لها في الولايات المتحدة الأمريكية خلال الفترة من 15 يونيو إلى 14 يوليو المقبلين.
وقال المدرب الجنوب إفريقي لصحيفة توتو سبورت: ""أشعر ببعض الحسد تجاه الأهلي؟ هذه الكلمة قوية نوعا ما، هناك احترام وإعجاب بما حققه الأهلي ونجاحه مثير للإعجاب، لا شك في ذلك"".
وأتم ""الأهلي مرجع لجميع الأندية الإفريقية، هذا دليل على أنه من الممكن بالاستقرار والعمل الجاد التطلع إلى مستويات مماثلة"".
ويقع الوداد المغربي في مجموعة نارية رفقة أندية يوفنتوس ومانشستر سيتي والعين الإماراتي.
ويستهل الوداد مشواره بمواجهة مانشستر سيتي يوم 18 يونيو قبل أن يواجه يوفنتوس ثم مانشستر سيتي."
الدوري المصري,"عقد البرتغالي جوزيه بيسيرو المدير الفني للفريق الأول لكرة القدم بنادي الزمالك جلسة مع اللاعبين قبل انطلاق مران اليوم الثلاثاء على ملعب النادي، استعداداً لمباراة المصري المقبلة في مسابقة الدوري الممتاز.
شهدت الجلسة حضور جميع الجهاز الفني بالكامل، وأكد المدير الفني البرتغالي على أهمية المرحلة المقبلة في ظل ارتباط الفريق بمباريات قوية في مسابقة الدوري، بجانب نهائي كأس مصر أمام فريق بيراميدز.
ومنح جوزيه بيسيرو تعليماته الفنية للاعبين من أجل تنفيذها خلال مران اليوم استعداداً لمباراة المصري المرتقبة.
و شهدت تدريبات الفريق تصعيد عمر محمد صلاح حارس مرمى فريق 2007 بقطاع الناشئين.
وأدى عمر محمد التدريبات برفقة حراس المرمى تحت قيادة نونو ميجيل مدرب حراس الفريق الأول.
وخاض الفريق تقسيمة فنية مطولة وأدى الفريق فقرة فنية وخططية ركز خلالها الجهاز الفني بقيادة البرتغالي جوزيه بيسيرو على تدريب اللاعبين على الكرات الثابتة.
وخصص الجهاز الفني فقرة كاملة بعد التقسيمة للعمل على إنهاء الهجمات بالشكل الأمثل، استعداداً للمباريات المقبلة.
وقرر الجهاز الفني للفريق الأول لكرة القدم بنادي الزمالك بقيادة البرتغالي جوزيه بيسيرو، الانتظام في معسكر مغلق يوم الاثنين المقبل، الموافق 28 إبريل الجاري في مدينة برج العرب بالإسكندرية، في إطار الاستعداد لمباراة المصري المقبلة في مسابقة الدوري الممتاز.
ويستعد فريق الزمالك لمواجهة المصري، المقرر لها يوم 1 مايو المقبل على ستاد الجيش ببرج العرب، في الجولة الثالثة للمرحلة النهائية لمسابقة الدوري المصري الممتاز.
ويحتل الزمالك المركز الثالث بجدول ترتيب الدوري المصري برصيد 38 نقطة بفارق 6 نقاط عن بيراميدز المتصدر ونقطتين عن الأهلي صاحب المركز الثاني."
الكرة المصرية,"كتب :عبد الرحمن فوزي| الإثنين، 16 سبتمبر 2024 - 21:23
ثروت سويلم، رجل نجح مهنيا، وتمكن من الوصول لأعلى المناصب، بداية من عمله في الشرطة والوصول لرتبة اللواء ودخوله مجال كرة القدم عن طريق الاتحاد المصري لكرة القدم لسنوات عديدة وأخيرا الانضمام لرابطة الأندية المصرية.
بالإضافة إلى ما سبق، فإن سويلم هو عضو بمجلس النواب المصري ما يعني بلوغه قمة الهرم سياسيا ورياضيا.
لو لم يكن سويلم ناجح مهنيا، لما وصل إلى تلك المناصب ولا بد أنه يملك مهارات كثيرة، بالتأكيد ليس بينها الحديث للإعلام.
في كل مرة يتحدث فيها ثروت سويلم للإعلام، يتسبب في سوء فهم أو مشكلة كبيرة أو على أقل تقدير لا يعطي الإضافة المرجوة منه كمسؤول في كرة القدم كل المطلوب منه هو التوضيح أو الإعلان عن قرار معين.
مهارة الحديث الإعلامي واحدة من أهم المهارات المطلوبة لأي شخص في العمل العام، عليك أن تتقنها أو تعمل في صمت لكي لا تتسبب في مشكلة دون داع يذكر.
وفي هذا المقال سنتحدث عن بعض تصريحات ثروت سويلم والتي تسببت في بعض المشكلات.
""مرتضى منصور حريص على تتويج الزمالك ببطولة لذلك سيكون حكام المباراة النهائية مصريين"".
قبل نهائي كأس مصر 2018 كان هناك خلاف حول ما إذا كان طاقم تحكيم المباراة سيكون مصريا أم أجنبيا ليخرج سويلم قبل المباراة ويقول إن الطاقم سيكون مصريا.
هل من الطبيعي أن يقول مسؤول باتحاد الكرة إننا قد عينا حكم بعينه بناء على طلب أحد الأندية؟
بكل تأكيد هذا تصريح لا يعقل ولا يمكن أن يخرج من مسؤول حتى لو كانت نيتك سليمة فهو تصريح غير طبيعي، حتى بعدما حاول سويلم إصلاح الخطأ فيما بعد عندما قال إن هناك اختلاقات بين وجهات النظر ولكن في النهاية اتحاد الكرة هو من سيصدر القرار النهائي.
بالفعل تم تعيين محمد فاروق حكما للمباراة وفاز الزمالك وبالتالي كان فاروق عرضة للضغوط والنقد والتشكيك باحتساب هدف فوز الزمالك، ليس لشيء إلا ضغط وضعه فيه سويلم قبل حتى تعيينه.
""يجب أن تعمل حساب للأهلي والزمالك، والإسماعيلي بجماهيره، الأندية الشعبية لها حسابات في التعامل"".
""الوضع الطبيعي لازم تعمل مجاملات أو حسابات للأهلي نادي القرن والوضع الطبيعي في وجود المستشار رئيس للنادي تعمل حسابات في التعامل معه"".
أي مشجع أو متابع لكرة القدم قد يميل لكفة الأندية الشعبية على حساب أندية الشركات ولكن هذا شيء يخص الجماهير، كمسؤول أنت ارتضيت تواجد أندية الشركات لذلك يجب أن تعاملها كأي فريق آخر من الأندية الشعبية وأن تطبق مبادئ المساواة على الجميع سواء في القرارات أو التصريحات لأن المساواة هي أكبر شيء تفتقده الكرة المصرية على مدار تاريخها.
""وجود الزمالك في بطولة السوبر إضافة كبرى لكن حتى الآن لم يحدث أي جديد. مشاركة الفريق في البطولة بشكلها الجديد واردة مع تغيير مجلس الإدارة"".
""ربما يحب الكل أن يكون هناك جديد في التعامل مع الزمالك بعد تغيير الإدارة"".
""الإدارة الجديدة ربما ستقول أننا لم نعتذر عن النسخة الماضية ونريد بدء صفحة جديدة"".
""كان يجب صدور القرار بعقوبة الزمالك بعد انسحابه من النسخة الماضية لبطولة السوبر وهذا لم يحدث فهذا وكأنك تركت جزء من الباب مفتوحا"".
الزمالك كان قد اعتذر عن عدم خوض كأس السوبر المصري 2022 بالتالي أصبح ممنوعا من المشاركة في النسخة التالية حسب اللوائح ولكن في كل مرة كان يتحدث ثروت سويلم عن إمكانية مشاركة الزمالك بعد تغيير مجلس الإدارة ولأن وجوده تسويقيا مهم للبطولة.
بكل تأكيد مشاركة الزمالك تسويقيا مهمة لأي بطولة مصرية بسبب جماهيره الكبيرة ولكن ما علاقة ذلك بتطبيق اللوائح، هل اللوائح تختلف عندما يكون الفريق جماهيريا أو لا؟ وما علاقة تغيير مجلس إدارة الزمالك بموقفه من المشاركة في السوبر، في النهاية العقوبة كانت ضد الكيان وليس مجلس الإدارة.
في النهاية لم يتطرق الكثيرون لتصريحات ثروت سويلم كون اللوائح قد نفذت بشكل طبيعي ولم يشارك الزمالك في البطولة، ولكن كالعادة التصريحات جانبها التوفيق واعتبرت كمجاملة للنادي رغم إنه لم يستفد شيء.
""أتعجب من الحديث عن مجاملة الأهلي. الزمالك أيضا تأجل له مباريات ولكن بقدر أقل لأن مشاركات الأهلي الخارجية تفوقه. رابطة الأندية ونظامها لعب دورا في فوز الفريقين بدوري الأبطال والكونفدرالية"".
""إصرار الزمالك على موقفه؟ ""مفيش حاجة اسمها كده وكل واحد يقول اللي هو عايزة وفي النهاية في إدارة محترمة تحكمها لوائح ونظام لازم يتطبق"".
""مع احترامي لنادي الزمالك ولكنه بعيد عن المنافسة حتى يتحدث عن ضرورة اللعب بترتيب المباريات. نحن نعاني من ضيق الوقت ونحاول الوصول إلى أفضل نظام لتسيير المسابقة"".
الزمالك قرر عدم استكمال الدوري بعد الخسارة من المصري في الموسم الماضي لأنه يرى أن الفريق قد تعرض لظلم تحكيمي كبير مع عدم وجود مساواة في ترتيب المباريات وبالفعل اعتذر الفريق عن عدم مواجهة الأهلي كاعتراض على عدم تنفيذ مطالبه.
ولأول مرة لا يتحدث ثروت سويلم بنبرة المجاملة لأحد الفرق ولكنه أيضا تسبب في مشكلة جديدة ولكن تلك المرة دخل في صدام مباشر مع الزمالك.
مجلس إدارة الزمالك اعتبر تصريحات سويلم إهانة للنادي لأنه قال إن الزمالك خرج من المنافسة على الدوري ولا يحق له الاعتراض وتحولت المشكلة من رغبة الزمالك في تنفيذ بعض المطالب لدخول النادي في صدام مع أحد أعضاء رابطة الأندية قبل أن يعتذر ثروت سويلم عن تصريحاته التي تم فهمها بشكل خاطئ كما أشار.
""إذا أمن العقاب أساء الأدب. هذا زمن أندية البيانات وكل من استيقظ صباحا يصدر بيان. الإساءة لاتحاد الكرة والرابطة غير مقبولة، ويجب أن يكون هناك رد فعل عنيف ضد من كتب هذا الكلام"".
""من كتب البيان هو أحد العاملين بالنادي ويريد أن يظهر لملاكه أنهم ""رجال"" ويهاجموا الرابطة واتحاد الكرة"".
أساس عمل هؤلاء الأشخاص هو الاستفادة المادية من ملاك النادي، وبالتالي لا يعنيهم الأمر ولذلك أقول أن من أمن العقاب أساء الأدب"".
""إنهم يتربحون من ملاك النادي وبمبالغ خيالية، ويريدون أن يصوروا للملاك أنهم يحاربون من الرابطة لكي لا يفوزوا بالدوري"".
بعد القرار بإستكمال مباراة سموحة وبيراميدز الشهيرة من حيث توقفهما والتي لم تستكمل بسبب حريق في استاد الإسكندرية اعترض بيراميدز على القرار لرغبة النادي في اعتباره فائزا كون الأزمة حدثت في ملعب سموحة المضيف.
بعد بيان بيراميدز الاعتراضي خرج ثروت سويلم وهاجم إدارة بيراميدز وأتهمهم أن الإدارة هدفها فقط التربح المالي من الملاك بدون وجه حق أو بدون النظر لمصلحة النادي.
ما علاقة رد سويلم على إدارة بيراميدز بقرار رابطة الأندية، قد ترى أن إدارة بيراميدز مخطئة في بيانها وقد يرد المسؤولين عن البيان بشكل طبيعي سواء بقرارات تأديبية إذا لم يعجبك محتوى البيان أو عن طريق اللوائح بدلا من شخصنة الأمور وتحويلها من أمر رياضي إلى الدخول في زمم الناس وإحداث ضجة وصراع من لا شيء ولحسن الحظ لم يرد أعضاء بيراميدز على تصريحات وإلا كانت الأزمة ستضخم بشكل أكبر.
""نهائي كأس مصر بدون الأهلي والزمالك لم يكن بالشكل الذي يتمناه الجمهور. من الوارد تغيير لائحة المشاركة في كأس مصر من أجل مصلحة البطولة وليس لمجاملة الأهلي لكي يشارك في الكأس الموسم المقبل"".
من جديد يتحدث ثروت سويلم حول ضرورة تواجد نادي معين في بطولة على الرغم من أن ذلك يخالف اللوائح.
الأهلي اعتذر عن عدم خوض بطولة كأس مصر في نسخته الماضية بسبب ضرورة حصول لاعبيه على راحة وهذا من جديد يعني أنه لن يشارك في النسخة التالية حسب اللوائح مثلما حدث مع الزمالك في السوبر.
وبدون أسباب أو مناسبة، يخرج ثروت سويلم ويتحدث عن إمكانية تغيير اللوائح لمشاركة الأهلي على الرغم من أن النادي لم يطلب والبطولة حتى لم يقترب موعدها، فلماذا التبرع بتصريحات تثير اللغط.
ثروت سويلم لا علاقة به بكأس مصر من الأساس كونه عضوا في رابطة الأندية وليس في اتحاد الكرة، لذلك فهو غير مسؤول عن تنظيم كأس مصر أو لوائحه أو أي شيء، فكيف يتحدث عن البطولة وتغيير اللوائح وهو غير مسؤول عن البطولة من الأساس، ولماذا دائما يرتبط حديث ثروت سويلم بمجاملة الأندية التي تجد نفسها في موضع اتهام بمجاملة لم تنلها من الأساس.
""الأغلب سيكون الدوري كما هو بنفس نظامه، وكل الأندية سترفض إقامة الدوري بأي شكل آخر وستظل أزمة الدوري المصري لسنوات طويلة والموسم لن ينتهي قبل شهر سبتمبر عام 2025"".
أمس الأحد، كشف سويلم عن اقتراب خوض دوري الموسم الجديد بشكله المعتاد بنظام دورين ومجموعة واحدة وحذر من أن ذلك سيجعل الموسم ينتهي في شهر سبتمبر من العام المقبل.
وفقا لرابطة الأندية، فإن الدوري الجديد سيبدأ في الأسبوع الأخير من شهر أكتوبر وفي حالة خوضه بالشكل الطبيعي ونهايته في سبتمبر التالي يعني أن الدوري سيستمر 11 شهرا.
هل من الطبيعي أن يستمر دوري عادي من 34 جولة لمدة 11 شهرا؟
إذا أجرينا مقارنة سريعة بين حالة فرق الدوري المصري والدوريات الأوروبية من حيث المواعيد سنجد أن الدوريات الأوروبية تلعب عدد مباريات أكبر بكثير.
على سبيل المثال سنجعل الأهلي هو طرف المقارنة، سيلعب 34 مباراة في الدوري المصري و3 مباريات بحد أقصى في بطولة إنتركونتيننتال و12 مباراة من دور المجموعات حتى نهاية دوري أبطال إفريقيا ومباراتين بكأس السوبر المصري سيتم لعبهم قبل بداية الموسم على الأرجح. إجمالي 56 مباراة على الأكثر.
وسنضع ريال مدريد كطرف المقارنة الثاني، سيلعب مباراة ببطولة إنتركونتينيننتال و18 مباراة بحد أقصى في دوري أبطال أوروبا و6 مباريات بحد أقصى في كأس ملك إسبانيا ومباراتين بكأس السوبر الإسباني بالإضافة إلى كون الدوري الإسباني مكون من 38 جولة وليس 34 وستجد هنا أن ريال مدريد سيخوض عددا أكبر بكثير من الأهلي أكثر فريق قد يخوض مباريات في مصر ثم سيلعب كليهما كأس العالم للأندية بشكل طبيعي بعد نهاية الموسم. إجمالي 65 مباراة على الأكثر.
في مصر يقول ثروت سويلم إن بهذا الشكل سينتهي الدوري في شهر سبتمبر، أما في إسبانيا وأوروبا سينتهي الدوري بشكل طبيعي في مايو، هل من المعقول أن نبدأ الدوري المصري بعد الدوريات الأوروبية بشهرين وننهيه بعد نهاية الدوريات بأربعة أشهر؟
مع العلم أن الدوري المصري لن يتخلله أي بطولات قارية طويلة لمنتخب مصر أو الأهلي أو الزمالك أو غيرهم فلن يتوقف الدوري في أي مناسبة لمدة طويلة فلماذا قد يمتد لكل تلك الفترة الطويلة حسب تصريحات ثروت سويلم.
الخلاصة هي أننا نريد بالفعل خوض موسم استثنائي في الدوري المصري ولكن لكي تكون مواعيده في المواسم التالية متماشية مع مواعيد باقي دوري العالم وليس من أجل أن ننهي الدوري في 8 أشهر على أقصى تقدير، لأن تلك المدة هي الطبيعية أو حتى لدوري يلعب من 34 جولة فقط مثل الدوري الألماني الذي يبدأ بشكل متأخر عن باقي الدوريات الكبرى ويحصل على فترة راحة طويلة في نصف الموسم وينتهي بشهر مايو بشكل طبيعي.
التصريحات السابقة هي أمثلة فقط على تصريحات كثيرة لم يكن ثروت سويلم فيها موفقا سواء في إحداث سوء فهم أو حتى في الإدلاء بتصريحات غير واقعية وكان يتم نفيها في الكثير من الأوقات مع خروج القرارات الرسمية.
الخلاصة هي أن ثروت سويلم رجل مسؤول في الكرة المصرية، مثله مثل العديد من المسؤولين الذين يمارسون مهام عملهم وينجحون في بعضها ولا يوفقون في أخرى ولكن تظل مشكلته الأكبر دائما في كثرة التصريحات التي لا تعبر عن الواقع فتدخله في المشكلات، وذلك فنحن ننادي السيد سويلم. أرجوك كفاك تصريحات، فنحن لدينا ما يكفي من إثارة في الكرة المصرية بالفعل دون الحاجة للغط تصريحاتك.
ومع تلك التصريحات المتضاربة يجب أن يكون لرابطة الأندية ولاتحاد الكرة متحدثا رسميا لكل منهما، لا يخرج أحد غيره للحديث عن القرارات التي تخصمها ويوضح ما يريد الإعلام استيضاحه ولا يجب أن يتحدث كل مسؤول بما يراه صحيحا دون النظر إلى ما إذا كان كلامه سيتم تنفيذه أو لا، لأن المشاهد يهتم فقط بالقرارات الرسمية وليس فيما يفكر فيه المسؤولين عن كرة القدم ولأن ذلك التفكير بصوت عالي يحدث أحيانا نوعا من اللغط بين القرارات الرسمية وما يفكر فيه المسؤول."
الكرة الإفريقية,"يقدمFilGoal.comتغطية حية ومباشرة لمباراة صنداونز ضد الأهلي في ذهاب نصف نهائي دوري أبطال إفريقيا.
ويستعد الأهلي للقاء صنداونز في ذهاب نصف نهائي دوري أبطال إفريقيا، ملعب لوفتوس فيرسفيلد.
وكان الأهلي قد تخطى عقبة الهلال السوداني بالفوز بنتيجة 1-0 في كل مباراة ذهابا وإيابا.
وانتصر صنداونز على الترجي التونسي بنتيجة 1-0 في مجموع المباراتين للوصول للمربع الذهبي.
ق 90+2: انفراد بنشرقي وهدف للأهلي لكن الحكم المساعد يشهر راية التسلل
ق 89: تغييران للأهلي بمشاركة أكرم وبنشرقي بدلا من رضا وجراديشار
ق 71: جوووول أووووول ولكن جراديشار والحكم يشهر راية التسلل على داري
ق 59: مطالبات بركلة جزاء بداعي وجود لمسة يد على مدافع صنداونز بعد رأسية طاهر
ق 44: عرضية إمام ورأسية من جراديشار ترتطم بالقائم الأيسر لصنداونز
ق 37: ركنية خطيرة من لوكاس ريبيرو يبعدها الشناوي بقبضة يده قبل أن تسكن الشباك
ق 34: تصويبة من لوكاس ريبيرو تمر بجوار القائم دون خطورة على مرمى الشناوي
ق 30: رأسية إمام سهلة في يد الحارس بعد عرضية محمد هاني
ق 20: تمريرة بينية من رضا لجراديشار في عمق دفاع صنداونز لكن ويليامز يخرج ويشتت الكرة في الوقت المناسب قبل السلوفيني.
ق 15: تصويبة قوية من إمام في منتصف المرمى يتصدى لها ويليامز بثبات
ق 10: تصويبة قوية من موكوينا تمر بسلام أعلى العارضة"
